id,Tahun,Bulan,Suhu,Lembab,BTA+
1,2007.0,Januari,,77.90322580645162,49
2,2007.0,Februari,,81.75,54
3,,Maret,,,60
4,,April,,,75
5,,Mei,,,81
6,2007.0,Juni,,,86
7,2007.0,,,,54
8,2007.0,Agustus,,,47
9,2007.0,September,,,40
10,2007.0,Oktober,,,53
11,2007.0,November,,,54
12,2007.0,Desember,,,55
13,2008.0,Januari,23.60967741935484,,61
14,2008.0,Februari,23.648275862068967,,63
15,2008.0,,23.012903225806454,,65
16,2008.0,April,,,64
17,2008.0,Mei,,75.16129032258064,64
18,,Juni,,72.96666666666667,64
19,,Juli,,71.74193548387096,65
20,,Agustus,,,65
21,,September,,,65
22,,Oktober,24.716129032258074,,65
23,,November,24.19666666666667,,65
24,2008.0,Desember,23.40322580645161,,66
25,2009.0,Januari,23.506451612903223,,63
26,2009.0,Februari,,,62
27,2009.0,Maret,,,61
28,,April,,,63
29,2009.0,Mei,,77.87096774193549,63
30,2009.0,Juni,,72.43333333333334,64
31,2009.0,Juli,,70.06451612903226,66
32,2009.0,Agustus,,,66
33,2009.0,,,,65
34,2009.0,Oktober,24.41290322580645,,68
35,2009.0,November,24.909999999999993,,69
36,2009.0,Desember,24.345161290322576,,70
37,2010.0,Januari,,,73
38,2010.0,,,,74
39,2010.0,Maret,,,76
40,2010.0,April,,,73
41,2010.0,,,,73
42,2010.0,Juni,,,72
43,2010.0,Juli,,,94
44,2010.0,Agustus,,,90
45,2010.0,September,,80.16666666666667,86
46,2010.0,Oktober,,79.80645161290323,94
47,2010.0,November,,,94
48,2010.0,Desember,23.82903225806452,,95
49,2011.0,,24.10322580645161,,89
50,2011.0,Februari,23.93214285714286,,88
51,2011.0,Maret,23.361290322580643,,86
52,2011.0,April,23.42666666666667,,102
53,,Mei,23.548387096774192,,106
54,,Juni,22.15333333333334,,109
55,,Juli,22.003225806451617,,108
56,2011.0,Agustus,21.903225806451612,68.87096774193549,108
57,2011.0,September,22.84333333333334,70.2,109
58,2011.0,Oktober,,71.2258064516129,105
59,2011.0,November,,,103
60,2011.0,,,,102
61,2012.0,Januari,,,93
62,2012.0,Februari,,,90
63,2012.0,Maret,,,87
64,2012.0,April,,,90
65,2012.0,Mei,,,89
66,2012.0,Juni,,,89
67,,Juli,21.65806451612903,,108
68,,Agustus,21.690322580645162,,112
69,2012.0,September,,,117
70,2012.0,Oktober,,,109
71,2012.0,November,,,108
72,2012.0,Desember,,85.16129032258064,108
73,2013.0,Januari,,,90
74,2013.0,Februari,,,86
75,2013.0,,,,81
76,2013.0,,,,83
77,2013.0,Mei,,,82
78,2013.0,Juni,23.666666666666675,,81
79,2013.0,Juli,22.448387096774198,,91
80,2013.0,Agustus,21.89354838709677,,94
81,2013.0,September,,,96
82,2013.0,Oktober,,70.70967741935483,81
83,2013.0,November,23.996666666666663,,78
84,2013.0,Desember,,85.87096774193549,75
85,2014.0,Januari,23.57419354838709,,84
